date,close,open,high,low
2017/12/29,9141.26,9136.14,9158.51,9128.86
2017/12/28,9154.25,9076.26,9154.57,9076.26
2017/12/27,9067.24,9081.94,9103.85,9051.49
2017/12/26,9080.06,9080.06,9080.06,9080.06
2017/12/22,9114.75,9051.42,9115.44,9051.41
2017/12/21,9017.62,8957.91,9033.49,8933.24
2017/12/20,8956.94,8982.68,8995.14,8943.39
2017/12/19,9003.71,8924.69,9014.85,8924.69
2017/12/18,8887.04,8888.86,8922.01,8842.29
2017/12/15,8834.97,8943.59,8943.59,8819.12
2017/12/14,8982,8958.17,9018.74,8940.49
2017/12/13,8927.15,8851.09,8949.03,8811.55
2017/12/12,8888.8,8977.6,9009.58,8883.89
2017/12/11,8949.23,8849.78,8961.4,8834.07
2017/12/8,8827.89,8686.91,8846.05,8686.91
2017/12/7,8667.72,8623.92,8713.2,8593.88
2017/12/6,8596.17,8788.02,8815.04,8587.4
2017/12/5,8792.19,8879.01,8886.23,8792.15
2017/12/4,8920.51,8875.41,8993.36,8820.13
2017/12/1,8902.16,8960.04,9014.92,8901.94
2017/11/30,8973.46,9124.53,9124.53,8968.79
2017/11/29,9199.28,9242.23,9282.84,9190.85
2017/11/28,9253.74,9219.15,9254.57,9121.9
2017/11/27,9262.31,9348.86,9349.81,9249.04
2017/11/24,9347.5,9316.79,9374.02,9295.66
2017/11/23,9316.2,9431.38,9486.51,9300.8
2017/11/22,9429.51,9460.57,9494.83,9412.49
2017/11/21,9370.2,9217.51,9377.72,9217.51
2017/11/20,9215.61,9170.1,9223.36,9140.72
2017/11/17,9147.5,9091.23,9191.49,9091.23
2017/11/16,9031.63,8957.74,9057.07,8957.6
2017/11/15,8949.88,9002.79,9025.64,8949.48
2017/11/14,9088.05,9156.36,9158.91,9087.89
2017/11/13,9117.37,9115.1,9163.02,9114.84
2017/11/10,9120.6,9123.93,9161.02,9091.58
2017/11/9,9133.97,9066.15,9147.88,9066.15
2017/11/8,9075.21,9092.68,9172.38,9074.99
2017/11/7,9107.85,8990.94,9111.83,8990.94
2017/11/6,8934.98,8907.05,8952.13,8806.67
2017/11/3,8906.06,8881.5,8928.45,8881.5
2017/11/2,8895.86,8906.33,8936.64,8887.37
2017/11/1,8894.31,8809.5,8900.39,8809.5
2017/10/31,8765.5,8758.15,8793.54,8739.94
2017/10/30,8731.97,8756.05,8818.23,8731.67
2017/10/27,8741.11,8706.53,8779.58,8706.53
2017/10/26,8723.27,8768.54,8771.35,8705.4
2017/10/25,8814.44,8756.84,8836.26,8756.84
2017/10/24,8761.49,8797.02,8820.38,8753.01
2017/10/23,8826.18,8845.24,8871.25,8807.15
2017/10/20,8851.54,8740.64,8864.07,8740.64
2017/10/19,8779.92,8929.71,8956.66,8776.46
2017/10/18,8900.29,8889.2,8905.61,8870.38
2017/10/17,8930.2,8944.87,8969.07,8926.73
2017/10/16,8912.33,8856.62,8922.05,8856.62
2017/10/13,8850.78,8843.88,8854.58,8824.67
2017/10/12,8874.9,8856.37,8892.68,8850
2017/10/11,8851.05,8874.89,8910.23,8834.36
2017/10/10,8850.54,8819.92,8856.73,8810.32
2017/10/9,8792.72,8843.44,8844.3,8787.44
2017/10/6,8834.91,8787.97,8860.49,8787.97
2017/10/5,8785.62,8785.62,8785.62,8785.62
2017/10/4,8787.09,8741.44,8829.51,8741.44
2017/10/3,8697.18,8497.73,8707.28,8497.73
2017/10/2,8496.68,8496.68,8496.68,8496.68
2017/9/29,8454.22,8411.29,8469.89,8409.46
2017/9/28,8414.91,8500.15,8501.19,8414.26
2017/9/27,8462.4,8401.88,8469.89,8401.88
2017/9/26,8417.83,8421.55,8445.75,8342.63
2017/9/25,8512.5,8654.1,8654.51,8505.39
2017/9/22,8652.59,8710.08,8710.08,8641.37
2017/9/21,8724.8,8712.99,8742.42,8692.9
2017/9/20,8727.89,8687.75,8729.12,8682.19
2017/9/19,8691.02,8710.46,8743.35,8684.54
2017/9/18,8671.16,8564.22,8678.23,8564.22
2017/9/15,8571.17,8554.45,8583.29,8494.47
2017/9/14,8570.54,8574.64,8603,8557.11
2017/9/13,8540.95,8542.66,8552.28,8502.1
2017/9/12,8518.46,8488.8,8529.54,8484.02
2017/9/11,8438.45,8368.01,8446.71,8367.99
2017/9/8,8388.14,8369.29,8412.22,8369.29
2017/9/7,8329.91,8356.67,8387.91,8325.89
2017/9/6,8348.6,8357.99,8357.99,8296.98
2017/9/5,8383.11,8368.64,8415.95,8368.45
2017/9/4,8368.81,8421.75,8421.75,8356.86
2017/9/1,8418.25,8444.62,8462.08,8417.79
2017/8/31,8414.66,8440.15,8443.89,8385.81
2017/8/30,8395.18,8326.5,8402.36,8326.5
2017/8/29,8327.01,8342.26,8347.1,8275.51
2017/8/28,8381.78,8391.91,8438.69,8372.77
2017/8/25,8431.83,8367.45,8437.47,8366.29
2017/8/24,8379.35,8326,8415.39,8326
2017/8/23,8321.51,8321.51,8321.51,8321.51
2017/8/22,8266.74,8209.64,8298.82,8209.64
2017/8/21,8175.21,8138.9,8196.98,8138.9
2017/8/18,8112.62,8171.16,8171.16,8096.8
2017/8/17,8173.09,8157.16,8237.4,8157.16
2017/8/16,8143.34,8082.92,8146.13,8082.92
2017/8/15,8066.66,8087.41,8146.87,8066.17
2017/8/14,8071.25,7957.1,8079.85,7957.1
2017/8/11,7955.24,8108.21,8108.21,7953.52
2017/8/10,8195.82,8265.12,8265.85,8157.11
2017/8/9,8260.32,8279.15,8302.51,8224.25
2017/8/8,8281.93,8221.8,8288.4,8221.78
2017/8/7,8167.96,8104.11,8172.17,8104.11
2017/8/4,8099.15,8092.58,8119.91,8085.93
2017/8/3,8053.33,8091.63,8091.63,8042
2017/8/2,8126.21,8120.4,8173.71,8120.4
2017/8/1,8119.92,8089.37,8145.27,8081.47
2017/7/31,8096.92,8027.12,8098.3,8027.03
2017/7/28,7967.97,8022.37,8022.88,7957.7
2017/7/27,8048.23,7989.16,8055.54,7989.1
2017/7/26,7947.64,7925.02,7969.02,7909.33
2017/7/25,7923.92,7949.22,7958.02,7923.78
2017/7/24,7930.94,7890.94,7931.2,7884.1
2017/7/21,7890.05,7910.42,7924.62,7885.38
2017/7/20,7916.82,7911.42,7941.58,7895.75
2017/7/19,7914.33,7816.12,7917.99,7816.12
2017/7/18,7779.54,7776.32,7799.6,7749.55
2017/7/17,7788.08,7764.23,7835.45,7754.8
2017/7/14,7736.93,7713.29,7737.56,7708.22
2017/7/13,7713.01,7631.14,7720.18,7631.14
2017/7/12,7590.16,7547.5,7613.72,7547.5
2017/7/11,7523.2,7419.57,7532.77,7419.28
2017/7/10,7392.13,7389.15,7429.93,7385.48
2017/7/7,7380.25,7421.58,7421.58,7378.15
2017/7/6,7457.92,7459.32,7478.55,7436.23
2017/7/5,7424.19,7391.12,7430.29,7327.44
2017/7/4,7391.25,7494.58,7503.24,7356.89
2017/7/3,7492.06,7462.91,7492.54,7443.29
2017/6/30,7465.64,7504.27,7504.27,7447.02
2017/6/29,7542.41,7503.52,7552.76,7503.52
2017/6/28,7476.27,7526.24,7526.24,7465.69
2017/6/27,7559.03,7553.19,7575.23,7539.55
2017/6/26,7560.43,7508.56,7566.61,7508.56
2017/6/23,7495.74,7490.35,7520.72,7485.39
2017/6/22,7495.97,7484.32,7539.65,7484.3
2017/6/21,7440.34,7459.36,7476.5,7417.98
2017/6/20,7472.95,7485.29,7516.41,7465.73
2017/6/19,7428.5,7353.39,7431.97,7352.58
2017/6/16,7353.82,7343.41,7377.88,7340.13
2017/6/15,7363.89,7442.22,7442.22,7363.64
2017/6/14,7455.58,7440.99,7462.44,7419.29
2017/6/13,7459.74,7434.38,7473.91,7433.24
2017/6/12,7438.82,7476,7495.92,7423.88
2017/6/9,7571.47,7592.12,7615,7559.33
