,company,mkt_cap,pb_ratio,beta,profit_m,roa,roe
173,600256.SS,17.53B,1.13,0.81,10.18%,3.78%,7.28%
174,000408.SZ,11.82B,1.52,0.28,16.62%,3.02%,4.21%
175,601100.SS,54.24B,10.44,N/A,25.26%,10.85%,24.29%
176,300733.SZ,1.56B,1.37,-0.42,1.97%,0.26%,0.79%
177,000695.SZ,1.64B,4.44,N/A,0.83%,2.52%,3.23%
178,002380.SZ,3.60B,1.66,0.18,16.76%,2.23%,5.75%
179,002085.SZ,14.48B,2.39,0.23,6.50%,3.43%,9.91%
180,002111.SZ,5.51B,1.94,0.73,12.37%,4.44%,11.15%
181,600090.SS,5.70B,0.88,N/A,4.68%,6.36%,8.57%
182,300074.SZ,2.31B,1.92,1.36,1.12%,-0.20%,0.19%
183,002635.SZ,12.15B,1.82,0.66,-23.17%,-9.40%,-10.98%
184,000032.SZ,6.01B,4.23,1.18,9.15%,4.34%,9.07%
185,002929.SZ,7.58B,2.75,-0.43,6.04%,3.10%,7.99%
186,603379.SS,12.95B,2.63,N/A,14.89%,6.38%,11.02%
187,600371.SS,3.17B,6.67,N/A,21.32%,N/A,N/A
188,300560.SZ,3.73B,6.67,-0.38,8.20%,5.27%,11.69%
189,603707.SS,36.27B,12.93,N/A,24.50%,9.96%,22.35%
190,600754.SS,20.88B,1.74,0.67,6.94%,1.97%,7.80%
191,002670.SZ,18.83B,1.62,0.17,-13.14%,-0.05%,-1.69%
192,002155.SZ,9.45B,1.91,0.51,0.57%,1.76%,1.42%
193,000882.SZ,5.58B,0.69,0.12,-7.01%,-0.21%,-0.95%
194,300452.SZ,2.38B,4.68,0.56,18.73%,7.53%,15.69%
195,300395.SZ,7.02B,3.83,1.03,25.26%,6.54%,12.02%
196,600276.SS,407.03B,16.43,0.39,22.86%,13.45%,23.26%
197,603730.SS,10.41B,2.87,0.89,13.23%,7.96%,16.86%
198,002689.SZ,3.79B,2.86,0.50,-13.77%,-3.89%,-8.63%
199,600103.SS,4.66B,1.31,0.53,2.36%,0.38%,1.78%
200,002867.SZ,13.39B,3.02,0.08,17.89%,11.67%,19.91%
201,002173.SZ,2.37B,0.67,N/A,-155.20%,-2.89%,-40.11%
202,600635.SS,10.97B,1.48,0.71,9.54%,0.74%,6.91%
203,300194.SZ,7.01B,1.76,0.59,10.93%,2.80%,7.34%
204,000885.SZ,5.00B,1.71,0.70,18.90%,5.48%,12.43%
205,300300.SZ,5.67B,2.27,N/A,-269.89%,-1.86%,-52.08%
206,300418.SZ,20.59B,4.64,1.37,37.11%,7.33%,25.19%
207,600617.SS,3.79B,1.04,0.62,-0.60%,0.76%,-3.35%
208,300518.SZ,1.86B,1.67,1.34,-93.64%,-0.19%,-17.95%
209,300543.SZ,2.46B,3.37,0.11,7.80%,5.34%,13.75%
210,600143.SS,20.38B,1.99,0.64,4.02%,4.47%,11.15%
211,002038.SZ,12.27B,2.56,0.67,21.18%,5.21%,7.67%
212,300276.SZ,5.79B,1.57,0.48,13.32%,2.74%,5.99%
213,300362.SZ,790.97M,N/A,N/A,0.00%,-2.29%,N/A
214,002526.SZ,3.85B,1.48,1.00,8.84%,6.02%,7.47%
215,002005.SZ,2.86B,1.36,0.87,7.20%,2.01%,7.48%
216,603217.SS,3.63B,1.69,N/A,10.90%,2.86%,7.87%
217,002693.SZ,2.33B,4.66,N/A,8.81%,-2.81%,1.64%
218,300227.SZ,3.26B,3.03,0.34,9.77%,4.21%,9.22%
219,002535.SZ,1.78B,0.64,N/A,-201.25%,-3.30%,-111.31%
220,600171.SS,11.51B,3.78,0.88,20.23%,1.43%,6.37%
221,000027.SZ,21.33B,0.71,0.54,7.55%,2.66%,5.23%
222,000931.SZ,6.42B,3.83,0.90,3.17%,1.74%,3.23%
223,002663.SZ,4.33B,0.83,0.99,-32.51%,-7.50%,-19.94%
224,603127.SS,11.72B,16.42,N/A,25.77%,8.19%,24.88%
225,002698.SZ,9.28B,4.18,0.99,20.93%,6.31%,16.13%
226,002888.SZ,2.20B,5.35,0.64,11.72%,2.41%,7.18%
227,002148.SZ,2.55B,2.23,1.21,-16.86%,-1.54%,-2.84%
228,603970.SS,2.88B,3.09,-0.20,2.65%,3.47%,12.71%
229,300674.SZ,13.95B,7.56,N/A,10.66%,5.37%,15.52%
230,688369.SS,4.61B,13.22,N/A,12.62%,6.14%,26.70%
231,600965.SS,7.09B,3.51,0.10,14.41%,1.77%,7.48%
232,300272.SZ,2.56B,2.17,0.10,8.56%,4.09%,9.22%
233,000650.SZ,7.84B,2.11,0.44,11.66%,9.11%,13.34%
234,002488.SZ,6.19B,1.54,1.15,-2.11%,-0.25%,-1.16%
235,002694.SZ,1.82B,1.85,N/A,0.66%,0.90%,-1.83%
236,603997.SS,8.40B,1.86,N/A,1.09%,3.62%,6.56%
237,300655.SZ,5.91B,10.57,0.21,4.06%,2.22%,4.52%
238,002846.SZ,5.18B,8.16,-0.59,6.69%,4.42%,10.09%
239,300246.SZ,3.15B,5.85,0.66,10.40%,7.79%,16.12%
240,002368.SZ,15.13B,5.32,0.45,4.80%,2.49%,10.40%
241,600679.SS,2.84B,3.00,0.54,2.34%,1.08%,2.49%
242,002652.SZ,1.76B,2.31,N/A,-10.76%,1.07%,-35.54%
243,002214.SZ,8.90B,7.97,N/A,31.23%,10.71%,21.17%
244,002239.SZ,11.90B,2.29,-0.09,2.54%,-1.26%,1.46%
245,601838.SS,27.20B,0.80,0.50,57.63%,1.05%,16.34%
246,600423.SS,2.36B,1.38,N/A,0.00%,-22.34%,-144.88%
247,002869.SZ,7.59B,5.45,0.33,27.14%,10.98%,34.64%
248,600500.SS,14.14B,1.22,0.91,0.44%,2.07%,5.93%
249,002084.SZ,2.56B,1.59,1.13,4.25%,2.97%,6.46%
250,000998.SZ,23.86B,3.85,0.32,-12.79%,0.99%,-4.10%
251,600184.SS,4.65B,1.98,0.55,1.75%,0.47%,1.67%
