,company,mkt_cap,pb_ratio,beta,profit_m,roa,roe
2876,600403.SS,9.40B,1.10,N/A,-0.69%,-0.03%,-1.28%
2877,002732.SZ,3.28B,3.31,0.27,7.86%,6.47%,11.92%
2878,000703.SZ,35.52B,1.60,0.96,4.67%,3.63%,15.70%
2879,600777.SS,11.97B,0.74,0.74,32.43%,4.91%,12.51%
2880,300443.SZ,3.19B,1.65,0.35,20.04%,7.67%,12.48%
2881,002215.SZ,5.48B,2.39,0.54,5.54%,2.19%,8.11%
2882,603587.SS,8.43B,2.66,N/A,25.03%,9.80%,16.42%
2883,300232.SZ,8.77B,3.11,1.06,9.73%,4.44%,16.93%
2884,300534.SZ,1.75B,2.42,0.30,2.76%,0.38%,1.32%
2885,300050.SZ,3.54B,1.23,0.55,-42.42%,-2.58%,-18.95%
2886,600054.SS,5.43B,1.41,N/A,16.95%,4.48%,5.89%
2887,000488.SZ,16.56B,0.89,1.01,6.01%,3.04%,7.36%
2888,002096.SZ,2.15B,1.07,0.68,0.62%,0.96%,0.99%
2889,000999.SZ,27.26B,2.17,0.63,10.30%,5.43%,11.73%
2890,300558.SZ,28.19B,11.89,0.61,16.95%,5.76%,12.50%
2891,002083.SZ,6.72B,1.86,0.39,10.24%,5.29%,13.62%
2892,300178.SZ,2.12B,0.79,N/A,-71.18%,-14.28%,-74.44%
2893,000829.SZ,5.37B,2.13,0.63,0.19%,-0.29%,4.19%
2894,000007.SZ,2.81B,15.51,N/A,-22.64%,0.44%,-4.81%
2895,600246.SS,13.93B,1.90,N/A,57.86%,0.07%,7.99%
2896,300105.SZ,2.26B,1.17,0.72,4.20%,-1.17%,1.00%
2897,300428.SZ,7.66B,2.06,0.67,6.73%,4.22%,11.17%
2898,002950.SZ,15.04B,7.70,N/A,14.85%,7.03%,17.95%
2899,600543.SS,1.76B,1.51,0.66,5.84%,-0.58%,0.29%
2900,600891.SS,734.93M,N/A,N/A,-188.25%,0.06%,N/A
2901,600195.SS,11.01B,2.66,0.43,6.82%,2.46%,7.24%
2902,601377.SS,41.85B,1.22,0.99,7.82%,0.62%,2.80%
2903,000785.SZ,51.71B,38.86,N/A,31.23%,N/A,N/A
2904,002906.SZ,5.71B,1.66,0.41,2.75%,0.54%,2.46%
2905,002722.SZ,2.16B,1.15,N/A,1.82%,3.64%,2.11%
2906,000551.SZ,2.93B,1.63,0.85,3.56%,2.21%,7.98%
2907,603032.SS,2.75B,4.03,N/A,5.04%,-2.50%,0.60%
2908,002335.SZ,5.95B,1.89,N/A,5.35%,3.49%,6.19%
2909,300100.SZ,2.23B,0.81,0.68,-24.35%,-0.60%,-42.91%
2910,002919.SZ,1.96B,3.48,N/A,4.12%,2.04%,3.63%
2911,600658.SS,4.78B,0.77,1.03,18.73%,2.92%,5.89%
2912,600190.SS,5.58B,0.92,0.61,2.48%,2.54%,2.72%
2913,300331.SZ,5.54B,3.75,0.52,7.19%,3.09%,6.36%
2914,000928.SZ,5.22B,1.11,0.69,2.89%,2.46%,7.70%
2915,002575.SZ,3.76B,4.28,N/A,0.00%,-1.85%,-27.03%
2916,600361.SS,3.20B,1.17,N/A,0.70%,N/A,N/A
2917,603159.SS,1.45B,3.46,N/A,4.04%,3.03%,5.33%
2918,300703.SZ,1.88B,2.68,0.10,11.17%,4.12%,14.54%
2919,002913.SZ,7.02B,2.89,1.01,11.75%,4.73%,11.61%
2920,002560.SZ,3.73B,2.29,0.18,7.30%,1.79%,6.03%
2921,002706.SZ,9.29B,5.14,0.40,13.08%,7.80%,15.18%
2922,603195.SS,92.98B,18.60,N/A,22.52%,N/A,33.22%
2923,300707.SZ,2.13B,3.32,N/A,10.38%,3.19%,6.49%
2924,600702.SS,7.68B,2.72,1.21,18.42%,7.29%,15.16%
2925,603618.SS,3.81B,1.46,1.18,2.13%,2.12%,5.55%
2926,002076.SZ,1.77B,8.06,0.43,-187.42%,-25.60%,-516.58%
2927,000978.SZ,1.63B,1.03,0.56,-1.96%,-0.54%,-2.79%
2928,300213.SZ,3.81B,1.87,0.94,9.53%,3.54%,6.01%
2929,603200.SS,4.82B,6.11,N/A,6.97%,4.41%,5.16%
2930,600138.SS,7.01B,1.07,0.73,2.41%,2.42%,6.22%
2931,000863.SZ,5.98B,1.01,0.19,-5.53%,0.46%,-2.32%
2932,002362.SZ,3.52B,4.09,1.18,3.55%,1.97%,5.63%
2933,002690.SZ,25.46B,11.37,0.55,36.07%,11.56%,21.78%
2934,000524.SZ,3.99B,1.51,0.72,1.26%,3.58%,2.65%
2935,002673.SZ,28.96B,1.64,1.01,8.74%,0.55%,1.60%
2936,300679.SZ,9.64B,2.78,N/A,N/A,N/A,N/A
2937,600248.SS,3.61B,1.26,0.97,3.12%,1.99%,7.95%
2938,002016.SZ,5.49B,1.81,1.44,31.42%,8.48%,26.17%
2939,002596.SZ,9.82B,2.72,-0.10,-19.44%,0.58%,-13.33%
2940,600724.SS,5.35B,1.83,0.58,12.78%,7.69%,15.89%
2941,603819.SS,1.92B,2.47,-0.22,8.60%,2.18%,11.98%
2942,603131.SS,4.73B,4.04,N/A,10.70%,3.99%,7.37%
2943,603909.SS,2.05B,2.77,0.40,9.73%,4.35%,9.03%
2944,300783.SZ,30.70B,15.73,N/A,1.66%,3.34%,10.30%
2945,002314.SZ,7.12B,0.87,0.90,6.13%,1.83%,4.66%
2946,300008.SZ,2.32B,3.43,0.98,-71.78%,-6.06%,-59.03%
2947,603387.SS,8.30B,5.11,N/A,32.74%,9.56%,19.20%
2948,603001.SS,3.30B,0.85,0.36,-2.24%,0.86%,-1.51%
2949,600167.SS,31.94B,4.74,N/A,45.60%,11.52%,22.65%
2950,603607.SS,2.29B,2.88,0.06,15.95%,6.03%,12.58%
2951,603787.SS,2.31B,2.35,0.76,1.09%,-0.35%,3.24%
2952,000936.SZ,7.27B,1.44,1.32,0.47%,3.85%,0.58%
2953,603963.SS,1.75B,3.74,0.37,1.94%,-0.04%,1.06%
2954,600643.SS,12.89B,1.23,0.71,35.50%,3.67%,12.75%
2955,002504.SZ,2.74B,3.19,0.56,-62.56%,-5.27%,-45.51%
2956,002951.SZ,5.92B,4.72,N/A,31.27%,6.74%,12.96%
2957,002185.SZ,27.04B,3.54,0.84,4.12%,1.57%,3.90%
2958,600192.SS,2.09B,1.08,0.91,0.60%,0.24%,0.91%
2959,002251.SZ,8.13B,1.07,0.95,0.44%,1.09%,1.16%
2960,002564.SZ,3.88B,1.04,0.71,-1.68%,1.43%,-2.38%
2961,300255.SZ,4.86B,1.81,0.89,10.81%,4.72%,8.03%
2962,000760.SZ,1.02B,2.09,N/A,195.21%,-4.54%,2.79%
2963,601866.SS,21.99B,0.97,0.80,10.28%,0.96%,6.62%
2964,000959.SZ,15.50B,0.57,0.29,1.66%,1.65%,4.26%
2965,600139.SS,1.87B,4.78,0.66,2.10%,0.19%,0.83%
2966,002292.SZ,9.84B,2.44,0.64,0.85%,0.18%,0.12%
2967,002973.SZ,7.36B,8.81,N/A,6.28%,N/A,N/A
2968,603699.SS,9.49B,3.74,0.77,14.85%,6.53%,16.76%
2969,300590.SZ,6.38B,6.87,0.22,26.10%,7.10%,16.12%
2970,300147.SZ,5.83B,1.66,0.97,4.75%,1.40%,3.08%
2971,600616.SS,2.31B,1.19,0.70,-1.44%,-0.69%,-0.75%
2972,002911.SZ,7.37B,2.73,0.43,6.45%,6.57%,14.18%
2973,603320.SS,1.63B,2.54,-0.51,6.67%,2.14%,6.51%
2974,002077.SZ,3.51B,1.17,0.37,-34.46%,-2.33%,-11.30%
2975,300044.SZ,4.81B,1.97,1.06,-41.92%,0.71%,-24.14%
2976,600323.SS,15.29B,2.38,0.49,13.58%,3.86%,12.26%
2977,002821.SZ,39.71B,13.91,0.02,22.58%,N/A,20.71%
2978,603365.SS,3.56B,1.62,0.44,9.76%,6.47%,12.31%
2979,300057.SZ,3.51B,1.06,0.69,2.35%,1.25%,2.69%
2980,000778.SZ,13.73B,0.65,0.55,3.99%,3.30%,6.83%
2981,603878.SS,3.23B,1.36,-0.02,13.36%,6.41%,12.43%
2982,603989.SS,8.83B,3.87,N/A,15.79%,6.39%,14.98%
2983,300506.SZ,3.76B,1.77,0.62,1.86%,1.06%,2.32%
2984,000902.SZ,10.59B,1.62,N/A,6.98%,5.79%,10.11%
2985,600996.SS,8.08B,1.73,N/A,1.86%,1.48%,1.27%
2986,603266.SS,1.99B,2.26,N/A,7.90%,3.52%,7.73%
2987,600780.SS,3.69B,0.69,0.67,4.02%,2.54%,4.97%
2988,002699.SZ,4.37B,1.40,0.62,3.47%,1.11%,1.59%
2989,600611.SS,9.37B,0.87,0.66,13.88%,1.89%,5.48%
2990,002835.SZ,2.13B,3.12,0.67,4.59%,0.98%,4.47%
2991,601700.SS,6.36B,2.28,0.79,-10.43%,4.00%,-11.17%
2992,601988.SS,1.31T,0.61,0.86,42.03%,0.89%,10.50%
2993,002550.SZ,6.05B,2.65,0.50,10.16%,1.94%,5.78%
2994,600735.SS,2.05B,2.17,0.75,4.92%,7.30%,11.24%
2995,600559.SS,7.66B,2.43,0.97,9.69%,4.03%,10.84%
2996,600548.SS,17.86B,1.03,0.92,35.77%,2.17%,9.03%
2997,002952.SZ,2.45B,3.17,N/A,18.07%,4.49%,9.49%
2998,600763.SS,34.56B,19.97,0.48,20.66%,12.16%,21.51%
2999,002805.SZ,1.71B,2.87,0.25,1.16%,0.42%,0.82%
3000,300642.SZ,3.94B,3.56,-0.02,30.33%,6.22%,11.15%
3001,300118.SZ,10.26B,1.28,1.07,5.47%,2.70%,9.16%
3002,603388.SS,2.06B,2.10,0.68,13.98%,3.43%,12.84%
3003,600266.SS,12.71B,0.51,1.00,1.26%,0.90%,1.17%
3004,300359.SZ,3.42B,2.56,1.03,-107.71%,-4.57%,-67.42%
3005,002098.SZ,2.11B,3.34,0.79,2.73%,0.96%,7.72%
3006,603882.SS,25.77B,11.78,0.15,7.73%,6.47%,19.82%
3007,603036.SS,1.77B,1.70,N/A,21.69%,N/A,N/A
3008,002896.SZ,1.59B,2.59,-0.04,7.76%,3.67%,8.61%
3009,002966.SZ,28.07B,1.01,N/A,39.33%,N/A,10.01%
3010,000707.SZ,1.34B,8.18,0.26,-6.02%,-0.29%,-88.19%
3011,000502.SZ,1.23B,6.22,N/A,-60.58%,-3.94%,-4.97%
3012,603336.SS,3.97B,4.55,-1.17,9.34%,3.98%,9.01%
3013,002431.SZ,3.93B,0.73,N/A,-40.80%,-1.52%,-22.16%
3014,603595.SS,5.67B,5.35,1.17,-12.99%,1.00%,-9.61%
3015,000831.SZ,9.80B,4.48,0.37,5.51%,2.45%,4.01%
3016,300260.SZ,3.00B,3.96,0.47,4.66%,2.80%,7.74%
3017,000620.SZ,5.35B,0.73,0.71,4.22%,1.30%,4.92%
3018,600490.SS,7.82B,1.20,N/A,1.58%,0.15%,2.26%
3019,600486.SS,20.89B,4.16,N/A,12.85%,9.24%,22.38%
3020,603839.SS,5.12B,1.83,0.42,11.35%,4.32%,10.72%
3021,600714.SS,1.46B,2.33,N/A,-5.65%,N/A,-1.51%
3022,300808.SZ,3.04B,4.70,N/A,9.35%,N/A,N/A
3023,002718.SZ,1.81B,1.50,0.60,10.37%,0.87%,5.17%
3024,000948.SZ,3.56B,2.40,0.52,1.75%,2.11%,4.97%
3025,300732.SZ,3.13B,1.42,0.25,16.65%,5.13%,11.67%
3026,002322.SZ,4.55B,1.61,0.72,30.28%,4.91%,10.29%
3027,002588.SZ,5.30B,1.21,0.37,2.14%,0.92%,2.78%
3028,603776.SS,3.33B,1.37,0.46,54.34%,2.81%,19.48%
3029,002272.SZ,1.80B,1.39,0.51,1.43%,-0.14%,0.97%
3030,600425.SS,4.96B,1.07,N/A,6.97%,6.13%,3.64%
3031,002562.SZ,5.07B,2.21,0.83,6.35%,1.41%,3.99%
3032,002233.SZ,14.72B,1.51,0.81,25.09%,11.09%,16.75%
3033,688310.SS,2.33B,10.63,N/A,N/A,N/A,N/A
3034,300129.SZ,3.14B,1.37,0.82,6.92%,2.32%,6.49%
3035,002452.SZ,3.05B,2.43,0.41,13.77%,3.50%,13.16%
3036,002629.SZ,1.43B,102.61,0.02,36.68%,-2.22%,85.89%
3037,601199.SS,3.46B,1.22,0.50,23.51%,4.44%,8.00%
3038,603527.SS,2.27B,2.52,0.50,3.14%,5.86%,10.80%
3039,600382.SS,3.69B,0.64,1.04,31.99%,7.45%,9.54%
3040,600729.SS,11.29B,1.82,N/A,2.14%,4.50%,11.14%
3041,603268.SS,1.75B,2.72,0.39,5.26%,3.40%,6.97%
3042,002881.SZ,3.84B,7.12,0.15,3.33%,1.81%,6.37%
3043,600151.SS,6.07B,1.03,N/A,-10.72%,-1.01%,-12.32%
3044,603333.SS,4.06B,2.71,N/A,3.85%,2.66%,4.67%
3045,002580.SZ,1.74B,1.44,0.83,1.32%,0.37%,1.89%
3046,002864.SZ,2.29B,3.46,0.06,12.19%,5.11%,10.70%
3047,000421.SZ,2.34B,0.91,0.66,2.98%,1.26%,5.09%
3048,300252.SZ,5.75B,2.39,0.68,1.72%,0.79%,1.64%
3049,600187.SS,3.79B,1.11,1.03,7.33%,-1.02%,1.14%
3050,002967.SZ,11.63B,7.62,N/A,5.71%,2.65%,7.59%
3051,002632.SZ,4.78B,2.45,0.79,14.21%,5.90%,9.43%
3052,600027.SS,45.36B,0.55,0.67,4.15%,3.04%,6.37%
3053,600820.SS,17.39B,0.81,0.52,4.61%,1.57%,8.77%
3054,002347.SZ,1.88B,1.64,0.65,2.21%,0.50%,1.10%
3055,000852.SZ,4.02B,2.21,0.87,0.00%,0.27%,0.37%
3056,600785.SS,3.18B,1.34,0.37,1.65%,1.78%,4.34%
3057,002554.SZ,2.81B,1.61,0.53,-2.55%,2.23%,-2.51%
3058,300310.SZ,5.47B,3.11,-0.27,0.81%,0.13%,0.95%
3059,002485.SZ,2.87B,1.24,0.17,2.40%,2.59%,5.62%
3060,000333.SZ,338.72B,3.45,1.10,8.77%,4.99%,22.31%
3061,000700.SZ,7.75B,3.33,0.37,-2.36%,-0.66%,-4.80%
3062,002089.SZ,3.73B,4.91,0.41,59.88%,3.79%,9.82%
3063,002603.SZ,26.99B,3.41,0.37,11.44%,5.56%,9.30%
3064,300799.SZ,5.17B,21.64,N/A,45.90%,N/A,N/A
3065,603580.SS,1.59B,3.79,-0.05,18.14%,3.64%,8.17%
3066,600967.SS,15.39B,1.74,0.49,4.52%,1.11%,6.45%
3067,002736.SZ,90.94B,1.62,0.86,30.84%,1.81%,7.94%
3068,601698.SS,57.16B,5.10,N/A,16.27%,N/A,4.40%
3069,300036.SZ,10.19B,5.00,0.67,12.66%,4.89%,11.28%
3070,002511.SZ,22.17B,5.80,0.46,9.86%,8.53%,17.32%
3071,002541.SZ,7.86B,1.67,0.38,5.33%,3.26%,11.25%
3072,603897.SS,2.92B,1.55,0.43,3.35%,3.98%,8.40%
3073,300815.SZ,15.78B,17.12,N/A,10.64%,13.61%,29.63%
3074,300632.SZ,3.28B,4.11,0.46,17.50%,9.21%,23.21%
3075,000636.SZ,14.59B,2.63,0.81,9.76%,1.93%,5.48%
3076,601717.SS,8.87B,0.78,0.96,4.21%,4.67%,8.86%
3077,603269.SS,1.22B,1.84,0.25,5.13%,0.99%,4.47%
3078,300401.SZ,7.63B,4.37,-0.15,44.71%,8.58%,15.79%
3079,688088.SS,22.37B,9.20,N/A,33.75%,N/A,N/A
3080,300020.SZ,6.81B,2.05,0.48,7.05%,1.95%,4.20%
3081,300427.SZ,5.97B,2.80,0.46,18.93%,4.63%,11.57%
3082,600600.SS,57.05B,3.22,1.02,6.01%,1.85%,8.25%
3083,600739.SS,27.76B,1.29,N/A,4.21%,1.38%,3.54%
3084,300811.SZ,3.76B,8.89,N/A,19.37%,N/A,N/A
3085,300414.SZ,3.88B,4.40,0.91,15.14%,1.10%,5.96%
3086,000757.SZ,2.69B,1.94,0.43,3.31%,4.87%,11.50%
3087,000850.SZ,3.63B,0.84,0.66,-13.67%,-0.46%,-9.85%
3088,300299.SZ,3.50B,3.21,0.54,-121.67%,-3.27%,-62.53%
3089,600778.SS,1.73B,1.93,N/A,0.91%,1.03%,5.37%
3090,002836.SZ,1.61B,4.20,1.62,4.80%,3.39%,3.58%
3091,601898.SS,54.56B,0.75,N/A,3.72%,3.22%,6.37%
3092,600642.SS,25.94B,0.89,0.49,6.76%,2.38%,7.45%
3093,000565.SZ,2.05B,1.81,0.67,12.77%,-0.01%,4.95%
3094,600183.SS,60.25B,6.82,0.37,11.33%,8.46%,19.82%
3095,601005.SS,18.61B,0.72,0.69,3.34%,1.72%,4.10%
3096,002775.SZ,2.67B,1.07,N/A,7.88%,5.45%,8.41%
3097,600448.SS,2.74B,1.85,-0.00,0.60%,1.21%,1.24%
3098,002518.SZ,6.77B,2.59,0.98,12.10%,4.51%,11.65%
3099,000799.SZ,9.23B,3.99,0.67,21.84%,8.43%,13.65%
3100,002538.SZ,3.59B,0.94,0.70,7.63%,3.04%,7.01%
3101,000570.SZ,2.45B,1.15,0.72,1.18%,0.07%,1.13%
3102,002783.SZ,3.72B,2.18,0.78,1.06%,1.58%,0.26%
3103,603305.SS,15.29B,10.32,0.35,19.36%,5.87%,12.59%
3104,600640.SS,13.14B,2.93,N/A,1.49%,0.04%,1.38%
3105,603238.SS,2.86B,3.28,0.44,9.81%,6.62%,15.83%
3106,600281.SS,1.94B,4.80,0.64,8.44%,0.36%,12.19%
3107,002262.SZ,11.62B,3.21,0.56,17.60%,10.02%,19.61%
3108,600000.SS,297.92B,0.58,0.40,51.88%,0.87%,11.20%
3109,300644.SZ,2.03B,2.92,-0.55,3.31%,1.33%,4.06%
3110,000833.SZ,3.60B,1.30,0.35,1.24%,-0.85%,0.82%
3111,002761.SZ,3.25B,4.73,N/A,1.13%,1.56%,13.06%
3112,300697.SZ,2.90B,3.52,0.08,6.55%,7.37%,13.74%
3113,300581.SZ,2.45B,3.81,-0.02,15.10%,3.12%,5.59%
3114,600562.SS,8.39B,4.69,N/A,2.02%,-0.04%,1.24%
3115,600180.SS,5.97B,0.99,N/A,0.74%,1.55%,4.92%
3116,300242.SZ,2.90B,2.76,0.34,-0.19%,-0.09%,-0.89%
3117,600080.SS,2.27B,1.26,0.39,1.94%,0.24%,0.81%
3118,000921.SZ,14.49B,1.56,N/A,3.89%,0.96%,15.39%
3119,601236.SS,72.81B,5.44,N/A,40.53%,N/A,8.73%
3120,002115.SZ,6.59B,2.65,0.87,1.39%,1.14%,3.39%
3121,600348.SS,11.06B,0.49,0.64,4.69%,2.97%,6.98%
3122,600037.SS,12.07B,0.91,0.93,13.15%,0.60%,2.63%
3123,000711.SZ,4.15B,0.79,N/A,-53.69%,-1.74%,-20.20%
3124,002743.SZ,2.20B,1.04,N/A,2.30%,1.51%,3.75%
3125,002395.SZ,4.15B,4.90,0.42,2.27%,0.86%,3.52%
3126,603025.SS,7.15B,3.98,0.22,24.12%,7.01%,12.64%
3127,600787.SS,9.99B,0.90,0.83,0.76%,0.02%,1.89%
3128,002719.SZ,1.70B,1.87,0.28,0.88%,0.25%,0.73%
3129,600614.SS,1.95B,2.06,N/A,-52.77%,-1.73%,-96.79%
3130,002227.SZ,3.60B,4.50,0.00,2.18%,0.05%,0.98%
3131,000892.SZ,4.03B,1.17,N/A,-110.85%,-3.70%,-17.89%
3132,600415.SS,18.02B,1.43,N/A,33.02%,3.20%,10.32%
3133,000912.SZ,6.90B,1.37,0.92,5.09%,2.37%,5.77%
3134,603991.SS,1.43B,3.03,-0.22,-18.42%,-4.88%,-16.28%
3135,688202.SS,4.03B,10.22,N/A,14.74%,N/A,17.54%
3136,300201.SZ,3.34B,2.08,0.61,3.38%,2.14%,3.34%
3137,002420.SZ,1.44B,3.80,N/A,4.41%,0.92%,30.50%
3138,300533.SZ,4.59B,2.79,0.17,40.34%,3.07%,10.57%
3139,300313.SZ,1.65B,9.16,-0.20,-24.76%,-4.76%,-35.92%
3140,600495.SS,5.98B,1.87,0.34,2.14%,-0.46%,0.81%
3141,000157.SZ,44.08B,1.15,0.86,10.14%,3.30%,10.76%
3142,601633.SS,81.06B,1.53,1.24,3.57%,1.64%,5.76%
3143,603105.SS,3.87B,2.66,N/A,11.91%,1.82%,3.46%
3144,002566.SZ,2.43B,1.27,0.49,8.39%,2.62%,4.81%
3145,600388.SS,9.67B,1.76,0.68,7.54%,2.49%,14.74%
3146,002655.SZ,3.31B,6.56,0.67,2.49%,1.37%,4.91%
3147,600170.SS,28.58B,0.88,0.56,1.38%,1.54%,7.95%
3148,603330.SS,1.54B,2.54,0.22,3.09%,2.37%,3.44%
3149,002256.SZ,3.65B,1.92,N/A,-65.73%,1.27%,-15.82%
3150,600628.SS,7.70B,1.75,N/A,-5.09%,-1.03%,-1.29%
3151,000544.SZ,6.14B,1.02,0.88,28.56%,3.95%,8.46%
3152,300743.SZ,1.66B,4.25,-1.15,4.15%,2.45%,4.32%
3153,603926.SS,1.89B,1.74,0.05,8.56%,3.61%,9.96%
3154,000591.SZ,9.71B,0.73,0.88,18.23%,3.56%,7.02%
3155,002547.SZ,9.14B,3.64,0.72,-1.07%,-0.31%,-2.97%
3156,000736.SZ,4.26B,1.81,0.54,2.83%,2.38%,19.05%
3157,002776.SZ,4.47B,1.87,1.13,18.62%,3.55%,6.34%
3158,601127.SS,7.55B,1.45,0.51,-2.19%,-2.32%,-7.24%
3159,002692.SZ,2.64B,2.51,0.75,-1.88%,1.33%,-4.51%
3160,603081.SS,4.44B,2.26,N/A,11.03%,N/A,12.72%
3161,002057.SZ,3.94B,2.82,0.57,8.18%,3.30%,7.50%
3162,002387.SZ,15.40B,1.04,0.91,6.71%,-0.76%,1.07%
3163,300588.SZ,1.52B,4.09,0.56,1.00%,-2.90%,0.14%
3164,600362.SS,39.83B,0.83,1.10,0.76%,2.00%,2.97%
3165,002496.SZ,3.71B,1.25,1.70,-42.28%,-6.07%,-14.08%
3166,600212.SS,1.58B,4.44,N/A,-106.96%,-4.32%,-77.80%
3167,002105.SZ,1.81B,3.22,1.02,2.26%,0.63%,7.66%
3168,300351.SZ,2.84B,1.18,0.73,-35.14%,-9.27%,-16.30%
3169,600031.SS,145.77B,3.45,0.87,14.21%,7.77%,23.80%
3170,603716.SS,3.14B,1.99,N/A,6.03%,5.59%,8.77%
3171,600527.SS,3.41B,1.46,1.07,7.62%,1.53%,3.37%
3172,300046.SZ,4.53B,5.01,0.26,-112.04%,0.31%,-31.96%
3173,603637.SS,2.42B,3.20,0.28,5.56%,1.97%,7.48%
3174,002390.SZ,7.72B,1.58,0.78,2.55%,2.17%,3.51%
3175,600969.SS,2.35B,0.67,0.67,1.58%,1.03%,2.32%
3176,002798.SZ,8.94B,2.45,1.06,10.35%,5.54%,15.48%
3177,300673.SZ,3.77B,3.83,0.49,5.12%,2.16%,5.70%
3178,600327.SS,3.37B,1.20,0.71,1.65%,1.65%,4.32%
3179,002358.SZ,5.52B,1.10,0.41,-3.35%,-0.70%,-1.05%
3180,002419.SZ,10.63B,1.53,0.89,2.88%,1.80%,7.22%
3181,603588.SS,7.34B,2.40,0.79,8.22%,3.93%,14.11%
3182,300007.SZ,3.83B,2.85,0.83,-5.68%,1.18%,-3.42%
3183,300465.SZ,5.01B,4.06,0.69,7.56%,4.13%,10.92%
3184,002609.SZ,6.45B,3.28,0.86,11.82%,2.93%,6.73%
3185,300731.SZ,3.80B,6.88,0.00,16.14%,1.56%,7.12%
3186,002224.SZ,4.60B,2.05,N/A,12.95%,3.57%,5.06%
3187,300224.SZ,7.04B,2.69,0.01,5.59%,0.49%,3.58%
3188,300006.SZ,3.91B,2.26,0.92,-10.26%,-0.77%,-11.46%
3189,002903.SZ,1.78B,3.00,-0.09,8.73%,-2.09%,1.23%
3190,300751.SZ,7.56B,5.56,N/A,16.05%,4.88%,18.82%
3191,002351.SZ,9.02B,4.93,1.58,10.88%,4.81%,7.74%
3192,600501.SS,3.29B,1.68,N/A,1.16%,N/A,2.28%
3193,002209.SZ,1.22B,2.00,N/A,-4.71%,-2.32%,-5.32%
3194,002044.SZ,46.18B,7.13,N/A,-17.31%,2.54%,-16.63%
3195,600149.SS,1.83B,9.05,N/A,1.46%,3.19%,9.31%
3196,002167.SZ,3.59B,4.22,0.96,-47.98%,-1.66%,-31.50%
3197,002297.SZ,2.44B,1.59,0.88,-51.04%,-2.01%,-11.74%
3198,300781.SZ,2.17B,3.59,N/A,13.53%,5.49%,10.76%
3199,600960.SS,3.13B,0.67,N/A,0.00%,N/A,N/A
3200,601611.SS,16.22B,1.07,0.44,1.84%,1.56%,8.01%
3201,300124.SZ,44.54B,6.61,1.02,12.70%,4.88%,13.16%
3202,600784.SS,2.43B,1.59,0.68,-0.00%,-0.28%,-0.69%
3203,601368.SS,4.66B,1.13,0.56,14.73%,2.50%,5.83%
3204,688122.SS,13.68B,5.33,N/A,11.12%,1.92%,6.41%
3205,603687.SS,6.34B,4.44,N/A,7.07%,1.52%,6.30%
3206,300149.SZ,6.09B,2.72,0.17,7.58%,2.35%,4.28%
3207,600295.SS,9.97B,0.91,N/A,5.81%,3.47%,8.55%
3208,002842.SZ,2.61B,2.84,0.46,3.96%,1.24%,5.02%
3209,600634.SS,829.05M,N/A,N/A,-50.41%,1.45%,N/A
3210,603712.SS,18.53B,7.24,-0.49,16.17%,3.90%,14.33%
3211,300281.SZ,2.77B,2.29,0.81,9.71%,-0.03%,2.05%
3212,300295.SZ,2.58B,2.11,1.02,16.09%,1.21%,6.11%
3213,601001.SS,5.89B,0.92,N/A,7.90%,N/A,N/A
3214,300051.SZ,2.83B,4.78,N/A,-97.41%,0.16%,-63.79%
3215,600868.SS,6.00B,2.57,0.68,20.53%,1.98%,2.61%
3216,601900.SS,9.00B,1.53,-0.05,8.81%,2.87%,9.57%
3217,000692.SZ,1.42B,1.28,N/A,-7.36%,-1.85%,-9.57%
3218,002037.SZ,3.06B,0.92,0.64,1.40%,2.03%,2.34%
3219,600215.SS,3.28B,1.28,N/A,24.13%,0.39%,1.39%
3220,300487.SZ,6.11B,5.05,1.52,24.96%,6.82%,18.69%
3221,603738.SS,4.24B,5.77,0.41,1.96%,1.19%,1.33%
3222,600859.SS,9.45B,0.84,0.90,1.68%,2.44%,2.66%
3223,600307.SS,10.77B,0.91,N/A,2.65%,3.16%,11.08%
3224,300243.SZ,1.58B,2.40,0.78,5.84%,4.76%,9.77%
3225,300034.SZ,6.73B,3.22,0.85,10.96%,4.81%,9.04%
3226,002410.SZ,47.85B,14.64,0.57,6.54%,2.46%,7.32%
3227,000688.SZ,20.49B,9.39,0.14,9.10%,2.91%,3.58%
3228,600598.SS,30.66B,4.61,0.01,30.22%,5.92%,14.05%
3229,603613.SS,13.79B,12.77,N/A,2.08%,8.63%,25.19%
3230,002574.SZ,2.43B,0.75,0.15,0.80%,0.82%,0.64%
3231,600157.SS,16.15B,0.67,0.75,0.66%,2.56%,0.98%
3232,300423.SZ,5.88B,1.78,0.45,14.88%,6.88%,18.09%
3233,300629.SZ,2.52B,3.81,0.65,-4.41%,-0.32%,-1.97%
3234,300457.SZ,19.75B,6.18,0.36,13.97%,2.85%,8.13%
3235,002625.SZ,15.79B,2.06,N/A,27.63%,0.39%,1.73%
3236,002922.SZ,1.77B,1.90,0.66,4.14%,2.18%,5.61%
3237,300033.SZ,58.41B,14.64,1.82,50.23%,10.65%,27.01%
3238,600898.SS,1.49B,N/A,0.36,-171.62%,-11.01%,N/A
3239,603528.SS,4.50B,2.90,-0.03,14.42%,2.12%,4.95%
3240,600767.SS,1.26B,4.89,N/A,-54.75%,-5.65%,-29.43%
3241,002532.SZ,3.00B,2.17,N/A,9.53%,5.86%,10.63%
3242,000670.SZ,1.84B,12.28,N/A,0.00%,-36.68%,-265.81%
